"ANO_APLICACION","PERIODO","FORMULARIO_ID","PREGUNTA_ID","PREGUNTA_PADRE_ID","ORDEN_PREGUNTA","DESCRIPCION","OBJETO_ACTIVO","TIPO_CUESTIONARIO_ID","RESPUESTA","RANGO_INI","RANGO_FIN","TEXTO_APOYO","TEXTO_LECTURA","ESTADO_REGISTRO"
"2022","1","1","87","0","016","16. La municipalidad utiliza un indicador de número de convenios de fraccionamiento aprobados (emitidos):","1","4"," "," "," "," ","Pregunta 16: Sólo permite una respuesta,  SÍ  o  NO .<br>Campo adicional se activa sólo si la respuesta a la pregunta 16 es  SÍ .  El rango permitido es de 0 a 999 999 999.","A"
"2022","1","1","88","87","016001","16.1. Ingresar indicador de número de convenios:","0","1","S","0","999999999","<Ingresar cantidad>"," ","A"
"2022","1","1","89","0","017","17. La municipalidad utiliza un indicador de número de convenios de fraccionamiento cancelados por pago total:","1","4"," "," "," "," ","Pregunta 17: Sólo permite una respuesta,  SÍ  o  NO .<br>Campo adicional se activa sólo si la respuesta a la pregunta 17 es  SÍ .  El rango permitido es de 0 a 999 999 999.<br> La condición es que la última cuota del fraccionamiento se haya cancelado en el primer semestre del año 2020.El convenio pudo haber sido aprobado en el primer semestre del año 2022 o en ejercicios anteriores .","A"
"2022","1","1","90","89","017001","17.1. Indicar número de convenios:","0","1","S","0","999999999","<Ingresar cantidad>"," ","A"
"2022","1","1","30","0","018","18. La municipalidad aprobó algún beneficio tributario o amnistía por deuda de Impuesto Predial en el año 2022:","1","4"," "," "," "," ","Pregunta 18: Sólo permite una respuesta,  SÍ  o  NO .<br>Pregunta 18a: Se activa sólo si la respuesta a la pregunta 18 es  SÍ .<br>Pregunta 18b: Se activa sólo si la respuesta a la pregunta 18 es  SÍ .<br>Pregunta 18c: Se activa sólo si la respuesta a la pregunta 18 es  SÍ .<br>","A"
"2022","1","1","31","30","018001","18a. Norma legal que aprueba el beneficio tributario o amnistía:","0","7","S"," "," "," "," ","A"
"2022","1","1","32","31","018001001","a) Ordenanza","1","0"," "," "," "," "," ","A"
"2022","1","1","33","31","018001002","b) Resolución de Alcaldía","1","0"," "," "," "," "," ","A"
"2022","1","1","34","31","018001003","c) Otro","1","0"," "," "," "," "," ","A"
"2022","1","1","35","30","018002","18b. Nº de norma legal:","0","2","S"," "," ","<Ingresar texto>","Es un campo alfanumérico.  Por ejemplo: 120-2022-MUNIABC.","A"
"2022","1","1","36","30","018003","18c. Fecha de publicación de norma legal:","0","3","S","01/01/2022","30/06/2022","<Seleccionar fecha>"," ","A"
"2022","1","1","37","0","019","19. La municipalidad difunde información o mensajes alusivos al destino de la recaudación predial (en la cuponera o cartillas de liquidación del Impuesto Predial) y/o en su portal electrónico:","1","4"," "," "," "," ","Pregunta 19: Sólo permite una respuesta,  SÍ  o  NO .","A"
"2022","1","1","38","0","020","20. La municipalidad utiliza el 5% de la recaudación predial para financiar el desarrollo y mantenimiento del catastro y/o para reforzar las acciones orientadas a mejorar la gestión y recaudación predial, según lo dispuesto en el artículo 20 de la Ley de Tributación Municipal:","1","4"," "," "," "," ","Pregunta 20: Sólo permite una respuesta,  SÍ  o  NO .","A"
